category,name,score,review,rate,normalized,location
A,Karen Restaurant,4.0,2,19,12.55,رفسنجان / ایران
B,Didar Cafe,3.7,2,24,10.215,رفسنجان / ایران
A,Seyed Yahya Restaurant,5.0,1,1,11.411,رفسنجان / ایران
D,Zarin Mashregh Zamin,3.5,1,22,3.483,رفسنجان / ایران
C,Daii Ice Cream,4.0,1,6,9.276,رفسنجان / ایران
D,Limon Juice Shop,3.5,1,22,3.483,رفسنجان / ایران
C,Strawberrie Juice and ice cream,4.0,1,6,9.276,رفسنجان / ایران
B,Bagh Hotel Restaurant,4.2,1,5,9.703,رفسنجان / ایران
B,Nozhan Fast Food,4.5,1,4,10.169,رفسنجان / ایران
C,Vitamix,4.0,1,6,9.276,رفسنجان / ایران
C,Konj Restaurant,4.0,1,6,9.276,رفسنجان / ایران
C,Shooli Kadeh Restaurant,4.0,1,6,9.276,رفسنجان / ایران
A,Koohsar Restaurant,5.0,1,1,11.411,رفسنجان / ایران
C,Dazho Fast Food,4.0,1,6,9.276,رفسنجان / ایران
C,Sholi Shop Restaurant,4.0,1,6,9.276,رفسنجان / ایران
C,Hilan Hotel Restaurant,4.0,1,6,9.276,رفسنجان / ایران
D,Doloopi Icecream,3.7,1,20,4.26,رفسنجان / ایران
D,20 Tike Fastfood,3.2,1,25,2.318,رفسنجان / ایران
C,Piadehro Cafe,4.0,1,6,9.276,رفسنجان / ایران
A,Plaza Cafe,4.7,1,3,10.596,رفسنجان / ایران
D,Goltabe Pizza,3.7,1,20,4.26,رفسنجان / ایران
C,Nozhan Cafe,4.0,1,6,9.276,رفسنجان / ایران
C,Gilani Restaurant,4.0,1,6,9.276,رفسنجان / ایران
C,Irah Cafe,4.0,1,6,9.276,رفسنجان / ایران
C,Tavakol Traditional Restaurant,4.0,1,6,9.276,رفسنجان / ایران
E,Kolbeh Cafe,0.0,0,26,0.374,رفسنجان / ایران
E,Peyman Restaurant,0.0,0,26,0.374,رفسنجان / ایران
E,Konj Restaurant,0.0,0,26,0.374,رفسنجان / ایران
E,Olampik Restaurant,0.0,0,26,0.374,رفسنجان / ایران
E,Shams Restaurant,0.0,0,26,0.374,رفسنجان / ایران
E,Atigh Restaurant,0.0,0,26,0.374,رفسنجان / ایران
E,Hilan Hotel Cafe,0.0,0,26,0.374,رفسنجان / ایران
E,Fish and Chips Restaurant,0.0,0,26,0.374,رفسنجان / ایران
E,Hot Wich Fast Food,0.0,0,26,0.374,رفسنجان / ایران
E,Seyed Bagher Hosseini Va Pesaran Kebab,0.0,0,26,0.374,رفسنجان / ایران
E,Cafe Boof,0.0,0,26,0.374,رفسنجان / ایران
E,Golha Restaurant,0.0,0,26,0.374,رفسنجان / ایران
